Ano Letivo;Nome;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP
2023;Aluno-45;Topázio;8,3;4;7,1;9,6;6,3;7,9;8,2;10;8,3
2023;Aluno-56;Topázio;8,3;4;9,6;9,5;5;7,8;7,8;10;8,1
2022;Aluno-575;Quartzo;5,9;3;8;6,1;7,5;2,8;7;5;6,7
2022;Aluno-388;Ágata;6,7;3;7,9;8,5;5,6;4,5;7,7;5;7,1
2022;Aluno-389;Ametista;7,2;3;8;8,9;7,5;3,5;7,6;10;6,5
2023;Aluno-443;Ágata;6,9;4;7,1;7,5;2,5;7,6;8,1;5;8
2022;Aluno-578;Topázio;8,8;3;9,5;10;8,8;9,5;9,6;5;6,5
2023;Aluno-459;Topázio;8,2;4;6,7;9,3;7,5;8,3;7,9;10;7,2
2023;Aluno-402;Ágata;6,6;4;9,2;7,3;2,5;4,2;6,9;10;7,8
2022;Aluno-571;Ágata;6,6;3;8,5;8,8;7,5;3,7;6,9;5;6,2
2022;Aluno-387;Ágata;6,3;3;7;8,2;7,5;3,7;6,8;5;6,1
2022;Aluno-505;Ametista;7,6;3;9,5;8;7,5;8,4;7,6;5;6
2022;Aluno-583;Ametista;7,5;3;8,5;9,4;7,5;7,1;7,3;5;6,4
2023;Aluno-36;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2023;Aluno-35;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2022;Aluno-356;Ágata;6,7;3;10;8,4;5;4,6;8,3;5;4,4
2023;Aluno-411;Ametista;7,8;4;6,2;9;7,5;6,6;7,5;10;7,8
2023;Aluno-31;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5
2022;Aluno-359;Ágata;6,6;3;9;7;7,5;4,6;7,5;5;6,3
2022;Aluno-360;Ametista;7,1;3;9,5;8,5;7,5;5,2;7,5;5;6,6
2022;Aluno-655;Ametista;7,8;3;7,5;9,2;7,5;8,3;8,4;5;6,2
2022;Aluno-649;Ametista;7,3;3;8,5;8,9;5,6;7,4;7,6;5;6,1
2022;Aluno-648;Ágata;6,7;3;9;7,5;6,9;5,3;7,5;5;5,5
2022;Aluno-646;Topázio;8,2;3;8,5;9,8;8,1;8,4;8,4;5;7,2
2022;Aluno-712;Ágata;6;2;8;5,1;5;8;5,8;5;4,2
2022;Aluno-364;Topázio;8,8;3;9,5;10;7,5;8,8;8,2;10;7
2022;Aluno-383;Topázio;8,4;3;9;9,6;7,5;8,1;7,8;10;6,5
2023;Aluno-415;Ametista;7,2;4;7,1;8,2;7,5;3,7;7,8;10;7,8
2022;Aluno-622;Quartzo;4,9;3;3,5;3,8;7,5;3,8;6;5;5,8
2022;Aluno-616;Ametista;7,3;3;7,4;7,4;7,5;8,8;7,3;5;6,1
2022;Aluno-609;Ágata;6,8;3;8,5;7,6;7,5;6;7,1;5;5,6
2022;Aluno-602;Ametista;8;3;10;9,7;7,5;8,6;7,7;5;5,5
2022;Aluno-731;Ametista;7,2;2;9;8,5;6,9;7,3;7,1;5;5,3
2023;Aluno-305;Ágata;6,4;4;0;8,9;7,5;5,2;7,8;5;7,7
2023;Aluno-99;Ágata;6,7;4;7,9;8,3;5,6;4,5;7,4;5;7,8
2023;Aluno-419;Ametista;7,7;4;6,7;9,5;2,5;7,6;7,9;10;8,1
2022;Aluno-375;Ametista;7,8;3;9;9,5;7,5;5,4;7,7;10;6,3
2022;Aluno-376;Ágata;7;3;9;9;7,5;4,3;7,5;5;6,9
2023;Aluno-432;Ágata;6,9;4;8,8;9;2,5;5,2;8;5;7,8
2023;Aluno-64;Ametista;7,5;4;7,5;9,2;6,9;6,7;8;5;7,3
2022;Aluno-584;Ágata;6,7;3;8;8,5;7,5;4,6;7,3;5;5,7
2022;Aluno-714;Ágata;7;2;9;6,9;5,6;8;7,2;5;6,2
2023;Aluno-303;Quartzo;5,9;4;0;7,3;7,5;5,1;7;5;7,7
2022;Aluno-420;Ametista;7,5;3;9,5;9;5,6;4,5;8;10;6,9
2022;Aluno-567;Ágata;6,3;2;9,5;6;7,5;4,8;6,8;5;5,8
2023;Aluno-254;Ametista;7,3;4;9,6;8,8;6,6;5,9;7,7;5;7,8
2022;Aluno-458;Ágata;6,5;3;8;7,7;7,5;5,6;5,8;5;6,3
2022;Aluno-459;Ametista;7,3;3;7;9,1;8,1;7,3;7,2;5;5,7
2023;Aluno-108;Quartzo;4,9;4;5,8;7,3;2,5;2,9;5,6;5;4,4
2023;Aluno-301;Ágata;6,8;4;9,2;5,4;7,5;5,2;6,5;10;6,7
2023;Aluno-174;Ágata;6,1;4;7,9;5,6;5;5,1;7,2;5;7,5
2022;Aluno-465;Ametista;8;3;8;7,9;7,5;7,8;8,4;10;6,3
2023;Aluno-308;Ágata;6,6;4;5,4;6,8;5;4,9;7,5;10;7
2023;Aluno-270;Ametista;8;4;9,2;9;2,5;6,6;9,1;10;8,8
2023;Aluno-299;Ágata;6,8;4;0;9,6;2,5;6,1;8;10;8
2023;Aluno-318;Ágata;6,9;4;7,9;8,1;6,3;4,9;7,7;5;8
2022;Aluno-470;Ametista;7,4;3;8;9,7;7,5;6,3;7,5;5;6,5
2023;Aluno-274;Topázio;8,1;4;7,5;9,5;5,6;7,5;8,3;10;7,7
2022;Aluno-473;Quartzo;5,9;3;8;6,1;7,5;4,3;5,9;5;5,9
2022;Aluno-474;Ágata;6,4;3;9,5;9,1;7,5;3;6;5;5,8
